historical_gwa,current_prelim_avg,failed_subjects_count,irregular_semesters,final_gwa,risk_level
2.19,2.11,0,0,2.14,MODERATE
3.63,3.75,0,0,3.65,LOW
3.08,3.07,0,0,2.91,LOW
2.75,2.28,0,0,2.68,LOW
1.64,2.1,0,0,1.89,MODERATE
1.64,1.94,0,0,1.69,HIGH
1.4,1.71,0,0,1.8,MODERATE
3.42,3.05,0,0,3.26,LOW
2.75,3.31,0,0,2.85,LOW
3.02,2.46,2,1,2.65,LOW
1.3,1.54,0,0,1.25,HIGH
3.67,4.0,0,0,3.69,LOW
3.33,2.93,0,0,3.0,LOW
1.78,1.55,0,0,1.68,HIGH
1.7,1.74,0,0,1.73,HIGH
1.71,1.51,0,0,1.31,HIGH
2.01,1.39,3,2,1.6,HIGH
2.56,2.59,0,0,2.58,LOW
2.33,1.9,0,0,2.28,MODERATE
1.98,2.17,0,0,2.22,MODERATE
2.78,2.41,0,0,2.8,LOW
1.6,2.22,0,0,1.69,HIGH
1.98,1.67,3,1,1.6,HIGH
2.17,2.04,0,0,2.21,MODERATE
2.39,2.72,3,1,2.23,MODERATE
3.21,2.72,2,2,2.72,LOW
1.75,1.84,0,0,2.13,MODERATE
2.54,3.06,0,0,2.65,LOW
2.73,2.09,0,0,2.44,MODERATE
1.37,1.44,0,0,1.06,HIGH
2.77,2.87,0,0,2.93,LOW
1.68,1.99,0,0,1.62,HIGH
1.41,1.0,0,0,1.29,HIGH
3.62,3.09,0,0,3.61,LOW
3.66,3.87,1,2,3.47,LOW
3.27,3.39,0,0,3.32,LOW
2.01,2.11,1,2,2.16,MODERATE
1.49,1.63,0,0,1.17,HIGH
2.96,2.69,0,0,2.76,LOW
2.35,2.44,0,0,2.24,MODERATE
1.56,1.67,0,0,1.56,HIGH
2.49,2.2,2,2,2.24,MODERATE
1.34,2.08,1,3,1.26,HIGH
3.52,3.71,1,1,3.4,LOW
1.9,1.42,0,0,1.64,HIGH
2.91,3.17,0,0,2.93,LOW
2.03,1.64,1,3,1.81,MODERATE
2.55,2.87,1,1,2.7,LOW
2.62,3.08,4,1,2.68,LOW
